Виталий Лазаревич Гинзбург,,,,,,
СКАЧАНА КУПЛЕНА,НАЗВАНИЕ,ГОД ИЗДАНИЯ,АВТОРЫ,ЖАНР,ЯЗЫК,ССЫЛКА
TRUE,Несколько замечаний об изучении сверхпроводимости,2004,Гинзбург Виталий Лазаревич,Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/00akGhaRwUphF7ph9daJ1M13Q#%25D0%259D%25D0%25B5%25D1%2581%25D0%25BA%25D0%25BE%25D0%25BB%25D1%258C%25D0%25BA%25D0%25BE_%25D0%25B7%25D0%25B0%25D0%25BC%25D0%25B5%25D1%2587%25D0%25B0%25D0%25BD%25D0%25B8%25D0%25B9_%25D0%25BE%25D0%25B1_%25D0%25B8%25D0%25B7%25D1%2583%25D1%2587%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B8_%25D1%2581%25D0%25B2%25D0%25B5%25D1%2580%25D1%2585%25D0%25BF%25D1%2580%25D0%25BE%25D0%25B2%25D0%25BE%25D0%25B4%25D0%25B8%25D0%25BC%25D0%25BE%25D1%2581%25D1%2582%25D0%25B8#
TRUE,A few comments on superconductivity research,2005,V L Ginzburg,Physics,ENGLISH,http://www.apple.com#
FALSE,Самородок (НЕ НАЙДЕНО),,,,,http://www.apple.com#
TRUE,"ОБЩАЯ ТЕОРИЯ ОТНОСИТЕЛЬНОСТИ ПОСЛЕДОВАТЕЛЬНА ЛИ ОНА? ОТВЕЧАЕТ ЛИ ОНА ФИЗИЧЕСКОЙ РЕАЛЬНОСТИ?
",1979,Гинзбург Виталий Лазаревич,Физика,РУССКИЙ,https://www.icloud.com/iclouddrive/091758eHwSCuxw37s6mhzSOQw#%25D0%259E%25D0%2591_%25D0%25AD%25D0%259A%25D0%25A1%25D0%259F%25D0%2595%25D0%25A0%25D0%2598%25D0%259C%25D0%2595%25D0%259D%25D0%25A2%25D0%2590%25D0%259B%25D0%25AC%25D0%259D%25D0%259E%25D0%2599_%25D0%259F%25D0%25A0%25D0%259E%25D0%2592%25D0%2595%25D0%25A0%25D0%259A%25D0%2595_%25D0%259E%25D0%2591%25D0%25A9%25D0%2595%25D0%2599_%25D0%25A2%25D0%2595%25D0%259E%25D0%25A0%25D0%2598%25D0%2598_%25D0%259E%25D0%25A2%25D0%259D%25D0%259E%25D0%25A1%25D0%2598%25D0%25A2%25D0%2595%25D0%259B%25D0%25AC%25D0%259D%25D0%259E%25D0%25A1%25D0%25A2%25D0%2598_#
FALSE,Космические лучи у Земли и во Вселенной (НЕ НАЙДЕНО ЕСТЬ В РГБ),1967,"Гинзбург, Виталий Лазаревич",Физика,РУССКИЙ,http://www.apple.com#
FALSE,Письма к любимой (НЕ НАЙДЕНО ЕСТЬ В РГБ),не указано,"Гинзбург, Виталий Лазаревич",,РУССКИЙ,http://www.apple.com#
TRUE,"УСТНЫЙ ВЫПУСК ЖУРНАЛА ""УСПЕХИ ФИЗИЧЕСКИХ НАУК""
К истории журнала ""Успехи физических наук",2009,"Гинзбург, Виталий Лазаревич",,РУССКИЙ,https://www.icloud.com/iclouddrive/067LDhkcAY3FkBGw75TkQakZQ#%25D0%259A_%25D0%25B8%25D1%2581%25D1%2582%25D0%25BE%25D1%2580%25D0%25B8%25D0%25B8_%25D0%25B6%25D1%2583%25D1%2580%25D0%25BD%25D0%25B0%25D0%25BB%25D0%25B0_%25E2%2580%259C%25D0%25A3%25D1%2581%25D0%25BF%25D0%25B5%25D1%2585%25D0%25B8_%25D1%2584%25D0%25B8%25D0%25B7%25D0%25B8%25D1%2587%25D0%25B5%25D1%2581%25D0%25BA%25D0%25B8%25D1%2585_%25D0%25BD%25D0%25B0%25D1%2583%25D0%25BA%25E2%2580%259D#
TRUE,On the history of Uspekhi Fizicheskikh Nauk,2009,V L Ginzburg,,ENGLISH,https://www.icloud.com/iclouddrive/0e1P3_a6Vofcf2MvFWw0aJ-MA#On_the_history_of_Uspekhi_Fizicheskikh_Nauk#
TRUE,ON THE INFLUENCE OF THE TERRESTRIAL MAGNETIC FIELD ON THE REFLECTION OF RADIO WAVES FROM THE IONOSPHERE,1942,V L Ginzburg,Физика,ENGLISH,https://www.icloud.com/iclouddrive/038LHh_eUPPzbPGHAvUysBNpg#ON_THE_INFLUENCE_OF_THE_TERRESTRIAL_MAGNETIC_FIELD_ON_THE_REFLECTION_OF_RADIO_WAVES_FROM_THE_IONOSPHERE#
TRUE,"PERSONALIA Виталий Лазаревич Гинзбург (к девяностолетию со дня рождения)

 ",2006,УСПЕХИ ФИЗИЧЕСКИХ НАУК,,,http://www.apple.com#
FALSE,,,,,,http://www.apple.com#
FALSE,,,,,,http://www.apple.com#
FALSE,,,,,,http://www.apple.com#
FALSE,,,,,,http://www.apple.com#
